State,District,Latitude,Longitude,District code,Population,Male,Female,Literate,Male_Literate,Female_Literate,Male_Workers,Female_Workers,Main_Workers,Marginal_Workers,Hindus,Muslims,Christians,Sikhs,Buddhists,Jains,Others_Religions,Housholds_with_Electric_Lighting,Households_with_Internet,Households_with_Computer
Maharashtra,Sindhudurg,16.170948049777163,73.51329008172343,529,849651,417332,432319,666067,348289,317778,229676,117502,226538,120640,780384,26264,15471,219,24762,1046,53,194228,3517,15721
Maharashtra,Solapur,17.837357937584812,75.42394823609216,526,4317756,2227852,2089904,2910676,1651266,1259410,1206933,691462,1763175,135220,3795424,441254,9882,1279,35497,28134,568,595560,15145,59296
Maharashtra,Thane,19.698767747440264,72.79882742564581,517,11060148,5865078,5195070,8227161,4591396,3635765,3363123,1129644,3930511,562256,8716055,1355630,280700,39149,449617,172052,9862,2231800,256170,551643
Maharashtra,Wardha,20.80743024390242,78.57259105691062,504,1300774,668385,632389,1019458,552617,466841,392316,215919,529623,78612,1057096,53854,2696,2147,175417,5663,2254,266155,4313,16260
Maharashtra,Washim,20.282282394366213,77.25502394366208,502,1197160,620302,576858,869917,487703,382214,340353,229439,502755,67037,859949,142672,1707,518,179330,8476,381,196022,1875,10757
Maharashtra,Yavatmal,20.04258346738159,78.05326371760479,510,2772348,1419965,1352383,2022574,1115980,906594,815475,540524,1195100,160899,2251401,239236,4567,1596,249874,11422,3745,446516,6094,29917
Manipur,Bishnupur,24.50712111801243,93.8246236024845,275,237399,118782,118617,156333,87313,69020,62807,47130,76423,33514,175102,18691,4264,56,76,16,38457,34364,676,3447
Manipur,Chandel,24.2635812987013,94.09443844155844,280,144182,74579,69603,90302,51053,39249,42615,33623,53753,22485,10810,3086,129049,136,400,59,354,18764,184,1782
Manipur,Churachandpur,24.30309718875504,93.38671506024085,274,274143,138820,135323,195935,104013,91922,70594,52061,89779,32876,12034,2886,254979,152,495,87,2333,29894,837,4496
Manipur,Senapati,25.08465586034914,94.03366234413956,272,479148,247323,231825,264477,148012,116465,124143,109479,185725,47897,43833,1649,426819,140,2409,53,1243,22798,256,2170
Manipur,Tamenglong,24.98312942238265,93.49450740072204,273,140651,72371,68280,85006,47403,37603,37237,33438,55979,14696,2995,589,134760,59,425,57,1144,11541,125,1362
Manipur,Thoubal,24.545392553191498,93.97959893617023,276,422168,210845,211323,269304,152617,116687,109377,85942,133428,61891,267146,107323,4322,106,114,24,42347,49507,880,5110
Manipur,Ukhrul,25.05900314960629,94.44129566929138,279,183998,94718,89280,129829,70148,59681,46533,41396,67724,20205,7553,1115,174112,108,635,70,32,14026,276,2437
Meghalaya,East Garo Hills,25.82728228228228,90.64684924924916,294,317917,161223,156694,192147,102513,89634,72262,53811,83936,42137,17272,3359,289708,56,1004,38,5617,24550,288,2368
Meghalaya,East Khasi Hills,25.303763888888884,91.75922519841272,298,825922,410749,415173,578030,287270,290760,204303,122483,289576,37210,144935,14185,543394,2495,3111,303,115597,135941,5032,19306
Meghalaya,Jaintia Hills,25.33959557069844,92.37608160136298,299,395124,196285,198839,187527,87371,100156,88839,65341,110617,43563,12456,1646,271596,34,284,45,107559,41677,510,4333
Meghalaya,South Garo Hills,25.240568578553614,90.64560349127176,295,142334,73170,69164,82062,45003,37059,32826,20243,38397,14672,7036,1050,132984,27,332,10,362,10940,179,1625
Meghalaya,West Garo Hills,25.495285185185185,90.03709947089942,293,643291,324159,319132,358702,193438,165264,151914,103779,188371,67322,122936,106788,389956,209,3392,144,16950,51301,1630,8872
Meghalaya,West Khasi Hills,25.500889926739926,91.25364542124538,296,383461,193715,189746,230678,117307,113371,89694,73651,119803,43542,6498,1533,366881,58,1313,38,5878,32873,149,2462
Mizoram,Aizawl,23.90781335453101,92.85359459459472,283,400309,199270,201039,340595,169547,171048,104643,69993,151410,23226,13249,5264,379134,105,1570,76,505,79804,4019,21093
Mizoram,Champhai,23.54166580976866,93.24221799485862,284,125745,63388,62357,100802,51440,49362,34129,26213,53111,7231,1075,699,123446,9,151,45,194,23948,186,2263
Mizoram,Kolasib,24.2020004347826,92.73470391304348,282,83955,42918,41037,65895,34147,31748,22733,13939,29697,6975,4000,4426,75210,16,108,2,46,14853,367,1986
Mizoram,Lawngtlai,22.36102843137253,92.66964156862753,287,117894,60599,57295,62861,36444,26417,28517,17049,38082,7484,1668,522,63892,52,51549,122,2,9283,162,1329
Mizoram,Lunglei,23.007717036172675,92.63512555425892,286,161428,82891,78537,121122,64515,56607,46230,32062,62013,16279,5231,1290,127124,74,27543,93,5,26394,482,3725
Mizoram,Mamit,23.73852942502819,92.4330803833147,281,86364,44828,41536,60191,32977,27214,24016,15323,36185,3154,2989,1782,69104,13,12328,25,19,12158,90,1073
Mizoram,Saiha,22.35744801061008,93.02827931034489,288,56574,28594,27980,42233,21861,20372,12211,7250,14694,4767,933,514,54977,11,102,4,2,7400,168,1194
Mizoram,Serchhip,23.263864705882344,92.914158496732,285,64937,32851,32086,54476,27598,26878,18261,14136,29838,2559,991,335,63444,6,60,9,35,12315,131,987
Nagaland,Dimapur,25.814176811594223,93.75074057971014,265,378811,197394,181417,278037,150142,127895,99645,51705,122358,28992,108900,31212,234239,566,1270,2148,157,71413,3303,12077
Nagaland,Kohima,25.60311428571428,93.78600657596373,270,267988,138966,129022,197489,107038,90451,68140,46685,99408,15417,25496,4384,234955,998,1519,80,335,50724,1928,7982
Nagaland,Mokokchung,26.478911764705888,94.522426006192,262,194622,101092,93530,159494,83479,76015,57084,42983,81046,19021,9840,2057,181847,78,442,66,6,40154,537,2728
Nagaland,Mon,26.69207374301676,95.03072988826828,261,250260,131753,118507,119626,67432,52194,79425,68229,104981,42673,8102,3444,236494,84,1256,314,1,14398,178,2844
